sigungu,hotelname,결정등급,id_regist,latitude,longitude,address,naver_rate
용산구,에이원호텔,1성급,1345,37.533882,126.99151,이태원로20길 2-8,Multiple
강남구,호텔 더 디자이너스,3성급,5854,37.507328,127.05504,"서울특별시 강남구 삼성동 144-7,8",Multiple
강동구,아르고호텔,3성급,6412,37.536079,127.13684,서울특별시 강동구 길1동 415-18,Multiple
부산진구,하운드 관광호텔,2성급,7822,35.154854,129.05603,부산광역시 부산진구 중앙대로691번가길 10,Multiple
중구,갤럭시관광호텔,2성급,12749,37.474022,126.597,인천광역시 중구 월미문화로 9,Multiple
수원시,호텔일마레,2성급,19514,37.259235,127.03006,경기도 수원시 권선구 권광로123번길 12,Multiple
평택시,로얄관광호텔,3성급,22641,36.960167,127.04567,경기도 평택시 팽성읍 안정로21번길 31,Multiple
정선군,하이밸리호텔,3성급,29396,37.208313,128.84268,강원도 정선군 고한읍 고한로 28-1,Multiple
음성군,서울관광호텔,2성급,31469,36.959091,127.47205,충청북도 음성군 대소면 삼양로 572-1,Multiple
천안시,천안관광호텔,2성급,31823,36.812386,127.14025,천안시 서북구 양지21길 42,Multiple
예산군,가야관광호텔,2성급,34194,36.693264,126.66251,충청남도 예산군 덕산면 신평1길 14,Multiple
여수시,오동도호텔,2성급,38338,34.741508,127.7523,여수시 오동도로 102,Multiple
고흥군,빅토리아호텔,2성급,39883,34.490902,127.35361,전남 고흥군 도화면 천마로 2736-29,Multiple
포항시,갤럭시관광호텔,2성급,41357,36.057205,129.37761,경상북도 포항시 북구 두호동 664,Multiple
구미시,구미관광호텔,2성급,42819,36.119484,128.34457,경상북도 구미시 오산로 217-16,Multiple
제주시,다이아나호텔,3성급,52382,33.518349,126.53872,제주특별자치도 제주시 임항로 249,Multiple
제주시,HOTEL LEO,4성급,52805,33.487816,126.49261,제주특별자치도 제주시 삼무로 14,Multiple
제주시,호텔오슬로,2성급,52811,33.517303,126.48768,제주특별자치도 제주시 서해안로 442-9,Multiple
제주시,호텔 컬리넌,2성급,52904,33.485291,126.4929,제주특별자치도 제주시 사장1길 26,Multiple
서귀포시,호텔 아루미,3성급,52983,33.265678,126.41441,서귀포시 색달중앙로 38,Multiple
서귀포시,파인힐호텔,2성급,53036,33.241329,126.56447,제주특별자치도 서귀포시 부두로 44,Multiple
서귀포시,호텔신라 제주 신라,5성급,53104,33.247559,126.40812,제주특별자치도 서귀포시 중문관광로72번길 75,Multiple
서귀포시,제주신화월드 호텔 앤 리조트,5성급,53135,33.306698,126.3161,서귀포시 안덕면 신화역사로304번길 38,Multiple
서귀포시,㈜호텔롯데 롯데호텔 제주,5성급,53168,33.248535,126.41039,제주특별자치도 서귀포시 중문관광로72번길 35,Multiple
서귀포시,오션블루호텔,3성급,53254,33.257549,126.51211,서귀포시 이어도로 67,Multiple
서귀포시,호텔 크리스탈,3성급,53302,33.247303,126.55817,제주특별자치도 서귀포시 중정로 16,Multiple
